PeopleID	FullName	FullNameReversed	VIAFURL	WikipediaURL	WikipediaImageURL
abarcpedro000018	Pedro Pablo Abarca y Bolea, conde de Aranda	Abarca y Bolea, Pedro Pablo, conde de Aranda	http://viaf.org/32053659/	http://en.wikipedia.org/wiki/Pedro_Pablo_Abarca_de_Bolea,_10th_Count_of_Aranda	http://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Pedro_Pablo_Abarca_de_Bolea%2C_Count_of_Aranda.jpg/200px-Pedro_Pablo_Abarca_de_Bolea%2C_Count_of_Aranda.jpg
abauzfirmi000019	Firmin Abauzit	Abauzit, Firmin	http://viaf.org/24642440/	http://en.wikipedia.org/wiki/Firmin_Abauzit	http://upload.wikimedia.org/wikipedia/en/thumb/d/de/Firmin-Abauzit.jpg/150px-Firmin-Abauzit.jpg
abbotcharl000020	Charles Abbot, 1st Baron Colchester	Abbot, Charles, 1st Baron Colchester	http://viaf.org/13211719/	http://en.wikipedia.org/wiki/Charles_Abbot,_1st_Baron_Colchester	http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Charles_Abbot%2C_1st_Baron_Colchester_by_John_Hoppner.jpg/200px-Charles_Abbot%2C_1st_Baron_Colchester_by_John_Hoppner.jpg
abeillouis000021	Louis Paul Abeille	Abeille, Louis Paul	http://viaf.org/14779372/	http://en.wikipedia.org/wiki/Louis_Paul_Abeille	
abercdavid025563	David Abercromby	Abercromby, David	http://viaf.org/54480855/	http://en.wikipedia.org/wiki/David_Abercromby	
abercjames004073	James Abercrombie	Abercrombie, James	http://viaf.org/13690587/		
abercjames005754	James Abercromby, 1st Baron Dunfermline	Abercromby, James, 1st Baron Dunfermline	http://viaf.org/23688558/	http://en.wikipedia.org/wiki/James_Abercromby,_1st_Baron_Dunfermline	http://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/James_Abercrombie_of_Fife%2C_1st_Baron_Dunfermline.jpg/220px-James_Abercrombie_of_Fife%2C_1st_Baron_Dunfermline.jpg
abingfranc004074	Frances Abington	Abington, Frances	http://viaf.org/49153847/	http://en.wikipedia.org/wiki/Frances_Abington	http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Joshua_Reynolds_-_Mrs_Abington.jpg/220px-Joshua_Reynolds_-_Mrs_Abington.jpg
acharantoi000028	Antoine Achard	Achard, Antoine	http://viaf.org/42148522/	http://en.wikipedia.org/wiki/Antoine_Achard	
adamjames0003734	James Adam	Adam, James	http://viaf.org/42634741/	http://en.wikipedia.org/wiki/James_Adam_(architect)	
adamrober0003735	Robert Adam	Adam, Robert	http://viaf.org/59122607/	http://en.wikipedia.org/wiki/Robert_Adam	http://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Robert-adam.jpg/220px-Robert-adam.jpg
adamsabiga000034	Abigail Adams	Adams, Abigail	http://viaf.org/32015075/	http://en.wikipedia.org/wiki/Abigail_Adams	http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Abigail_Adams.jpg/250px-Abigail_Adams.jpg
adamsjohn0000035	John Adams	Adams, John	http://viaf.org/95296943/	http://en.wikipedia.org/wiki/John_Adams	http://upload.wikimedia.org/wikipedia/commons/thumb/2/25/US_Navy_031029-N-6236G-001_A_painting_of_President_John_Adams_%281735-1826%29%2C_2nd_president_of_the_United_States%2C_by_Asher_B._Durand_%281767-1845%29-crop.jpg/220px-US_Navy_031029-N-6236G-001_A_painting_of_President_John_Adams_%281735-1826%29%2C_2nd_president_of_the_United_States%2C_by_Asher_B._Durand_%281767-1845%29-crop.jpg
