PeopleID	FullName	WikipediaURL	VIAFURL	KnowledgeNetwork	SocialNetwork	ProfessionalNetwork	ReligiousNetwork	Gender	Nationality
abarcpedro000018	Pedro Pablo Abarca y Bolea, conde de Aranda	http://en.wikipedia.org/wiki/Pedro_Pablo_Abarca_de_Bolea,_10th_Count_of_Aranda	http://viaf.org/32053659/		Military, Government			Male	Spanish
abauzfirmi000019	Firmin Abauzit	http://en.wikipedia.org/wiki/Firmin_Abauzit	http://viaf.org/24642440/	Letters_Religious, Letters_Antiquarian	Government			Male	French
abbotcharl000020	Charles Abbot, 1st Baron Colchester	http://en.wikipedia.org/wiki/Charles_Abbot,_1st_Baron_Colchester	http://viaf.org/13211719/		Government			Male	English
abbotjohnf003733	John Farr Abbot					Legal		Male	English
abbotmary0025055	Mrs Mary Abbot							Female	English
abeillouis000021	Louis Paul Abeille	http://en.wikipedia.org/wiki/Louis_Paul_Abeille	http://viaf.org/14779372/	Political economy, Political economy	Government			Male	French
abercdavid025563	David Abercromby	http://en.wikipedia.org/wiki/David_Abercromby	http://viaf.org/54480855/	Letters_Religious, Sciences		Medical	Catholic_Jesuit	Male	Scottish
abercjames004073	James Abercrombie		http://viaf.org/13690587/				Clergy	Male	American
abercjames004585	Colonel James Abercromby				Military			Male	Scottish
abercjames005754	James Abercromby, 1st Baron Dunfermline	http://en.wikipedia.org/wiki/James_Abercromby,_1st_Baron_Dunfermline	http://viaf.org/23688558/					Male	Scottish
aberdeento024385	Town Council of Aberdeen							Group	Scottish
aberdpresb024845	Presbytery of Aberdeen							Group	Scottish
abingfranc004074	Frances Abington	http://en.wikipedia.org/wiki/Frances_Abington	http://viaf.org/49153847/			Artist		Female	English
abosdantoi024215	Antoine Maximilien d'Abos de Binanville					Legal		Male	French
academiede000023	Académie de Lyon					Cultural		Group	French
academiede023844	Académie de Dijon					Cultural		Group	French
academiefr000024	Académie française					Cultural		Group	French
academiero000025	Académie royale d'Angers					Cultural		Group	French
acarqjeanp000796	Jean Pierre d'Açarq			Letters_Philosophical, Letters_Literary, Letters_Antiquarian				Male	French
acharantoi000028	Antoine Achard	http://en.wikipedia.org/wiki/Antoine_Achard	http://viaf.org/42148522/	Letters_Religious			Clergy	Male	Swiss
achesanne0005511	Lady Anne Acheson				Elite			Female	Irish
achesarchi024063	Archibald Acheson, 1st Viscount Gosford							Male	Irish
adairpatri025564	Rev. Patrick Adair			Letters_Literary			Protestant_Non-Anglican_Presbyterian	Male	Scottish
adairrober000030	Robert Adair					Medical		Male	Irish
adamantoi0000031	Antoine Adam					Academic	Clergy	Male	French
adamjames0003734	James Adam	http://en.wikipedia.org/wiki/James_Adam_(architect)	http://viaf.org/42634741/			Architecture		Male	Scottish
adamrober0003735	Robert Adam	http://en.wikipedia.org/wiki/Robert_Adam	http://viaf.org/59122607/			Architecture		Male	Scottish
adamsabiga000034	Abigail Adams	http://en.wikipedia.org/wiki/Abigail_Adams	http://viaf.org/32015075/					Female	American
adamsjohn0000035	John Adams	http://en.wikipedia.org/wiki/John_Adams	http://viaf.org/95296943/					Male	American
